Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361194723044,2019-06-24 12:21:05,,,"GHOST, amon amarth, billy talent, lamb of god, airbourne, iron maiden, prophets of rage, Ghost,  avenged sevenfold, eagles of death metal, queens of the stone age, ensiferum, the flatliners, GHOST!!!!!, in extremo, metallica, red fang, russkaja, sum 41, the sorrow, trivium, system of a down",12,2
10157361185413044_10157361194783044,2019-06-24 12:21:10,,,"Gojira, As I Lay Dying, Ye Banished Privateers",0,0
10157361185413044_10157361194808044,2019-06-24 12:21:10,,,Streetlight Manifesto!,0,0
10157361185413044_10157361194828044,2019-06-24 12:21:11,,,FEVER 333!🙏🏻,0,0
10157361185413044_10157361194833044,2019-06-24 12:21:11,,,"Dreamshade, End Of Silence, Annisokay, Cypecore, Beyond the Black, The Qemists",0,0
10157361185413044_10157361194853044,2019-06-24 12:21:12,,,"Paolo nutini, sum41, blink182, hosen immer wieder gut",2,0
10157361185413044_10157361194883044,2019-06-24 12:21:13,,,"Rammstein, Nightwish,  Disturbed 🤘🤘🤘",0,0
10157361185413044_10157361194898044,2019-06-24 12:21:14,,,Davidov Alcoholovic Will au niemer cho xD,0,0
10157361185413044_10157361194973044,2019-06-24 12:21:20,,,In Extremo🤘,6,0
10157361185413044_10157361194978044,2019-06-24 12:21:20,,,"Die Ärzte, As I Lay Dying, SHVPES, In Flames, Sharks in Your Mouth, Dreamshade, Rise Against, Enter Shikari, Fit For a King, Of Virtue usw.",1,0
10157361185413044_10157361194983044,2019-06-24 12:21:21,,,"Alter Bridge, Tenacoius D, Green Day, Airbourne, Billy Talent, Royal Blood.
Gebt doch auch vielen Jungen Schweizer Bands mal die chance sich zu beweisen!?",26,3
10157361185413044_10157361195033044,2019-06-24 12:21:22,,,"avenged sevenfold, asking alexandria, trivium, nothing more, bury tomorrow, reel big fish, offspring, bullet for my valentine",2,0
10157361185413044_10157361195053044,2019-06-24 12:21:23,,,"Mayhem, Abbath, Phil Anselmo and the illegals, Machine Head",3,0
10157361185413044_10157361195068044,2019-06-24 12:21:24,,,The killers,2,0
10157361185413044_10157361195073044,2019-06-24 12:21:24,,,"Norvhar, AM:PM, Anachronism, Rage Of Light, Nodafreth",4,3
10157361185413044_10157361195118044,2019-06-24 12:21:27,,,Metalicaa. Iron maiden. Volbeat. Green Day. Nightwish. Offspring. Sabaton,0,0
10157361185413044_10157361195263044,2019-06-24 12:21:33,,,"Burning Witches, Metallica , Disturbed",2,0
10157361185413044_10157361195283044,2019-06-24 12:21:34,,,Moritz Zwerenz na so viel ich weiss gönd sie unter metal.. 🙈,0,0
10157361185413044_10157361195378044,2019-06-24 12:21:38,,,"Avenged sevenfold, amon amarth, inflames, stone sour, korn, system of a down, iced earth.",13,0
10157361185413044_10157361195383044,2019-06-24 12:21:38,,,ensiferum,2,0
10157361185413044_10157361195433044,2019-06-24 12:21:41,,,"Rammstein
Five Finger Death Punch
Rose Tattoo
In Extremo",49,4
10157361185413044_10157361195453044,2019-06-24 12:21:41,,,Green day!,1,0
10157361185413044_10157361195533044,2019-06-24 12:21:44,,,Tool,3,0
10157361185413044_10157361195558044,2019-06-24 12:21:45,,,Samarra Morgan Pulveraffen hell yes😍😍🖤🤘🏻,1,0
10157361185413044_10157361195678044,2019-06-24 12:21:49,,,"ILLUMENIUM
Killer
Kilmister
Burning Witches
Broken Fate
Massive Ego
Iron Horses
Excelsis
Metalica
Böhse Onkelz
Frei.Wild
Toil
Maxxwell",6,2
10157361185413044_10157361195703044,2019-06-24 12:21:50,,,Five Finger Death Punch,6,0
10157361185413044_10157361196043044,2019-06-24 12:22:01,,,Beat Breit Oh nei 😱😂😂😂 🖕🏻,0,0
10157361185413044_10157361196098044,2019-06-24 12:22:04,,,https://www.youtube.com/watch?v=30SWtsUxNzk&list=PLl5fdaX3BLkCfmBlHM9RTZh8ANW_Vhu4q,0,0
10157361185413044_10157361196113044,2019-06-24 12:22:06,,,"Rammstein, Onkelz, FFDP, Slayer",2,3
